Word,Frequecy
I,7278521
,3882216
The,1517850
get,885983
would,885141
like,786679
food,723562
one,711951
place,669843
We,664750
time,635679
back,614775
even,577086
said,556459
told,555934
service,555279
go,552622
us,538009
They,508045
got,505069
never,480001
could,438872
asked,436964
good,430206
came,410969
This,410127
It,403189
went,378472
order,369733
really,358382
ordered,355928
I'm,349159
going,344582
people,331925
minutes,331087
My,324172
know,317834
come,312084
another,306945
took,297116
give,294580
-,294049
take,290741
make,287699
it.,287344
2,285410
customer,284235
two,279191
first,278969
called,277484
still,274571
want,266632
much,257792
She,253200
I've,252256
also,252216
When,243466
way,240166
He,237673
made,236679
see,231641
call,227890
better,225004
say,224008
wanted,222382
So,220902
bad,218596
ever,217834
If,215477
car,214020
new,212882
wait,209355
staff,206572
manager,206476
restaurant,206211
experience,206080
left,203473
think,201202
around,200938
last,198076
since,194663
3,193507
day,185925
Not,184620
put,180793
room,180756
&,180377
great,179907
pay,179803
times,179767
next,178381
try,178321
chicken,177064
sure,175336
money,173319
work,173244
table,172780
ask,170872
need,169379
little,167943
And,167520
right,164295
find,163932
something,162783
tell,161394
There,161089
many,158821
long,158470
front,158271
nice,157964
someone,157933
pretty,157896
waiting,156594
nothing,153744
back.,151420
gave,150672
But,150572
After,150354
check,149626
location,149502
tried,149083
eat,148889
can't,147017
looked,146917
server,146862
hour,145495
me.,144549
service.,144519
always,142772
No,142068
phone,140677
getting,139476
5,139290
business,138864
look,138013
again.,137655
worst,135774
It's,134805
store,133785
anything,132266
thing,132073
used,132021
let,131239
finally,131187
decided,130898
done,130613
well,130142
rude,129294
actually,128795
food.,128520
price,128303
walked,128102
use,126670
care,126519
every,125994
here.,125939
10,125669
half,124951
paid,124253
looking,124012
person,123040
thought,123015
night,122104
different,121897
waited,121640
company,120541
small,120143
waitress,119610
time.,119495
trying,119352
lot,119076
without,119001
A,118223
guy,117494
4,116678
home,116305
coming,115594
place.,115543
feel,115032
least,115029
away,114854
later,114114
recommend,113756
bar,112903
I,112507
worth,112228
almost,111767
needed,111343
things,109769
that's,109369
found,109108
pizza,108926
You,108619
menu,108291
hours,108232
1,107738
.,107278
NOT,106919
old,105707
there.,105622
quality,104934
drink,104668
tasted,104249
seemed,103418
line,102414
brought,101960
though,101282
good.,101087
review,100740
received,100683
water,100379
Then,100215
days,99925
everything,99834
taste,99820
help,97743
out.,97630
already,97390
else,97290
customers,96566
charge,96350
enough,96321
years,95696
husband,94882
started,94308
felt,94188
them.,94010
probably,93174
20,92827
lady,92639
drinks,92630
best,91647
cheese,91542
full,91135
side,91129
sauce,90816
leave,90671
couple,90592
second,89554
extra,89550
The,88950
whole,88901
big,88820
friend,88716
several,88519
wrong,88448
less,87323
hard,87178
three,87115
top,87079
reviews,86934
disappointed,86709
"it,",86220
saw,85910
bit,85793
meal,85428
I'll,85371
appointment,85056
30,84972
stay,84767
15,84622
working,84303
hotel,84048
love,83837
hair,83741
definitely,83701
What,83428
office,83215
sat,82955
point,82490
stars,82457
saying,82412
extremely,82323
owner,82069
charged,81790
salad,81533
completely,81353
kind,80853
open,80677
hot,80071
drive,79793
star,79720
part,79416
poor,79171
end,79040
arrived,79020
pick,79005
return,78739
maybe,78633
given,78426
door,78125
As,77808
instead,77756
area,77075
us.,76903
Our,76616
employees,76463
I'd,76440
able,76080
close,75967
week,75861
understand,75841
walk,75778
up.,75675
Very,75315
meat,75312
show,75054
keep,74693
dinner,74341
horrible,74331
all.,74305
waiter,74286
bring,74263
cold,74234
In,74211
reason,74163
ended,73884
year,73801
friends,73792
lunch,73771
sitting,73583
high,73312
free,73287
busy,73192
bill,71974
taking,71942
family,71889
kept,71872
buy,71788
card,71775
anyone,71724
cut,71549
far,71482
",",71003
guess,70901
order.,70863
visit,70483
eating,69902
months,69828
girl,69681
problem,69588
Don't,69544
making,69370
says,69032
tables,68893
At,68814
quite,68715
entire,68627
paying,68406
comes,68195
experience.,68160
"food,",67683
Just,67590
fix,67146
name,66992
due,66883
change,66757
wife,66238
served,65982
places,65712
clean,65709
That,65676
job,65662
weeks,65649
burger,65645
sent,65496
items,65315
waste,65022
fries,64539
happy,64380
terrible,64164
needs,64146
today,64054
seem,64030
behind,63592
rice,63240
For,62966
inside,62828
start,62793
offered,62356
literally,62152
deal,62072
believe,61882
Food,61871
may,61624
