Frequecy,Word,Color
7278521,I,
1517850,The,
885983,get,
885141,would,
786679,like,
723562,food,
711951,one,
669843,place,
664750,We,
635679,time,
614775,back,
577086,even,
556459,said,
555934,told,
555279,service,
552622,go,
538009,us,
508045,They,
505069,got,
480001,never,
438872,could,
436964,asked,
430206,good,
410969,came,
410127,This,
403189,It,
378472,went,
369733,order,
358382,really,
355928,ordered,
349159,I'm,
344582,going,
331925,people,
331087,minutes,
324172,My,
317834,know,
312084,come,
306945,another,
297116,took,
294580,give,
294049,-,
290741,take,
287699,make,
287344,it.,
285410,2,
284235,customer,
279191,two,
278969,first,
277484,called,
274571,still,
266632,want,
257792,much,
253200,She,
252256,I've,
252216,also,
243466,When,
240166,way,
237673,He,
236679,made,
231641,see,
227890,call,
225004,better,
224008,say,
222382,wanted,
220902,So,
218596,bad,
217834,ever,
215477,If,
214020,car,
212882,new,
209355,wait,
206572,staff,
206476,manager,
206211,restaurant,
206080,experience,
203473,left,
201202,think,
200938,around,
198076,last,
194663,since,
193507,3,
185925,day,
184620,Not,
180793,put,
180756,room,
180377,&,
179907,great,
179803,pay,
179767,times,
178381,next,
178321,try,
177064,chicken,
175336,sure,
173319,money,
173244,work,
172780,table,
170872,ask,
169379,need,
167943,little,
167520,And,
164295,right,
163932,find,
162783,something,
161394,tell,
161089,There,
158821,many,
158470,long,
158271,front,
157964,nice,
157933,someone,
157896,pretty,
156594,waiting,
153744,nothing,
151420,back.,
150672,gave,
150572,But,
150354,After,
149626,check,
149502,location,
149083,tried,
148889,eat,
147017,can't,
146917,looked,
146862,server,
145495,hour,
144549,me.,
144519,service.,
142772,always,
142068,No,
140677,phone,
139476,getting,
139290,5,
138864,business,
138013,look,
137655,again.,
135774,worst,
134805,It's,
133785,store,
132266,anything,
132073,thing,
132021,used,
131239,let,
131187,finally,
130898,decided,
130613,done,
130142,well,
129294,rude,
128795,actually,
128520,food.,
128303,price,
128102,walked,
126670,use,
126519,care,
125994,every,
125939,here.,
125669,10,
124951,half,
124253,paid,
124012,looking,
123040,person,
123015,thought,
122104,night,
121897,different,
121640,waited,
120541,company,
120143,small,
119610,waitress,
119495,time.,
119352,trying,
119076,lot,
119001,without,
118223,A,
117494,guy,
116678,4,
116305,home,
115594,coming,
115543,place.,
115032,feel,
115029,least,
114854,away,
114114,later,
113756,recommend,
112903,bar,
112507,I,
112228,worth,
111767,almost,
111343,needed,
109769,things,
109369,that's,
109108,found,
108926,pizza,
108619,You,
108291,menu,
108232,hours,
107738,1,
107278,.,
106919,NOT,
105707,old,
105622,there.,
104934,quality,
104668,drink,
104249,tasted,
103418,seemed,
102414,line,
101960,brought,
101282,though,
101087,good.,
100740,review,
100683,received,
100379,water,
100215,Then,
99925,days,
99834,everything,
99820,taste,
97743,help,
97630,out.,
97390,already,
97290,else,
96566,customers,
96350,charge,
96321,enough,
95696,years,
94882,husband,
94308,started,
94188,felt,
94010,them.,
93174,probably,
92827,20,
92639,lady,
92630,drinks,
91647,best,
91542,cheese,
91135,full,
91129,side,
90816,sauce,
90671,leave,
90592,couple,
89554,second,
89550,extra,
88950,The,
88901,whole,
88820,big,
88716,friend,
88519,several,
88448,wrong,
87323,less,
87178,hard,
87115,three,
87079,top,
86934,reviews,
86709,disappointed,
86220,it,
85910,saw,
85793,bit,
85428,meal,
85371,ll,
85056,appointment,
84972,30,
84767,stay,
84622,15,
84303,working,
84048,hotel,
83837,love,
83741,hair,
83701,definitely,
83428,What,
83215,office,
82955,sat,
82490,point,
82457,stars,
82412,saying,
82323,extremely,
82069,owner,
81790,charged,
81533,salad,
81353,completely,
80853,kind,
80677,open,
80071,hot,
79793,drive,
79720,star,
79416,part,
79171,poor,
79040,end,
79020,arrived,
79005,pick,
78739,return,
78633,maybe,
78426,given,
78125,door,
77808,As,
77756,instead,
77075,area,
76903,us.,
76616,Our,
76463,employees,
76440,I'd,
76080,able,
75967,close,
75861,week,
75841,understand,
75778,walk,
75675,up.,
75315,Very,
75312,meat,
75054,show,
74693,keep,
74341,dinner,
74331,horrible,
74305,all.,
74286,waiter,
74263,bring,
74234,cold,
74211,In,
74163,reason,
73884,ended,
73801,year,
73792,friends,
73771,lunch,
73583,sitting,
73312,high,
73287,free,
73192,busy,
71974,bill,
71942,taking,
71889,family,
71872,kept,
71788,buy,
71775,card,
71724,anyone,
71549,cut,
71482,far,
70901,guess,
70863,order.,
70483,visit,
69902,eating,
69828,months,
69681,girl,
69588,problem,
69544,Don't,
69370,making,
69032,says,
68893,tables,
68814,At,
68715,quite,
68627,entire,
68406,paying,
68195,comes,
68160,experience,
67683,food,
67590,Just,
67146,fix,
66992,name,
66883,due,
66757,change,
66238,wife,
65982,served,
65712,places,
65709,clean,
65676,That,
65662,job,
65649,weeks,
65645,burger,
65496,sent,
65315,items,
65022,waste,
64539,fries,
64380,happy,
64164,terrible,
64146,needs,
64054,today,
64030,seem,
63592,behind,
63240,rice,
62966,For,
62828,inside,
62793,start,
62356,offered,
62152,literally,
62072,deal,
61882,believe,
61871,Food,
61624,may,
