city,latitude,longitude,name,state,count
Toronto,43.7701814,-79.55129840000001,The Security Supply Store,ON,2
Toronto,43.7768436,-79.41441329999999,ZenQ Desserts,ON,26
Toronto,43.653462899999994,-79.4514725,Starbucks,ON,3
Toronto,43.8057920653,-79.2890381813,Double Win Restaurant,ON,4
Toronto,43.6441585,-79.41917059999999,Café Bernate,ON,4
Las Vegas,36.1190372,-115.176005,John Varvatos,NV,3
Phoenix,33.33195,-111.977698,Philly's Sports Grill,AZ,25
Phoenix,33.553469899999996,-112.13537179999999,Filiberto's Mexican Food,AZ,9
Las Vegas,36.1260718,-115.1922452,Little Macau,NV,7
Las Vegas,36.127196000000005,-115.171024,Aldo Shoes,NV,9
Toronto,43.666819017399995,-79.385469249,Sansotei,ON,9
Phoenix,33.609753000000005,-112.01471000000001,Walgreens,AZ,2
Phoenix,33.640843,-112.107836,Pro-Tech Transmissions,AZ,11
Las Vegas,36.243477500000004,-115.2352062,E Nails,NV,13
Phoenix,33.581424194899995,-112.12377030420001,Laptop Xchange,AZ,2
Phoenix,33.3789009164,-112.0720219565,Tammy Nails Spa,AZ,19
Phoenix,33.5524530603,-112.0993007774,Mine Nails,AZ,3
Las Vegas,36.099494,-115.2083645,China Star Buffet,NV,24
Las Vegas,36.19468679999999,-115.25173559999999,Las Vegas Dollar,NV,2
Las Vegas,36.238012,-115.06145500000001,La Quinta Inn by Wyndham Las Vegas Nellis,NV,6
Phoenix,33.655655200000005,-112.1326821,Nana's Smoke Shop,AZ,4
Las Vegas,36.042084700000004,-115.1230003,Britt With The Brush,NV,1
Toronto,43.6695491216,-79.3021431193,Hogtown Smoke In the Beach,ON,34
Toronto,43.770930880200005,-79.2782751471,Shawarma 360,ON,9
Phoenix,33.547917,-112.047124,Rico's American Grill,AZ,76
Toronto,43.7026552,-79.3877002,The Belsize Public House,ON,4
Phoenix,33.55505,-112.12669,Saba's Limo,AZ,10
Las Vegas,36.0988842331,-115.1163826064,Ely's Restaurant,NV,47
Las Vegas,36.0920061477,-115.1760053558,Lupo by Wolfgang Puck,NV,141
Toronto,43.665405799999995,-79.4764375,Avis Rent A Car,ON,3
Las Vegas,36.1429701,-115.20935,G Q Cuts Barbershop,NV,16
Phoenix,33.611881200000006,-112.0128683,Jiffy Lube #2093,AZ,11
Las Vegas,36.2726470474,-115.2238154423,US Post Office,NV,92
Las Vegas,36.1149989796,-115.1469352841,Jack in the Box,NV,49
Toronto,43.6889196,-79.3945875,Subway,ON,3
Phoenix,33.3911243,-112.08453840000001,Studio Nails by T and T,AZ,10
Phoenix,33.640995700000005,-112.0922881,Yi's Chinese Restaurant,AZ,9
Toronto,43.655346,-79.35876999999999,Bay Cat Hospital,ON,4
Phoenix,33.6081341,-111.98666570000002,Vaughn Auto Glass,AZ,3
Phoenix,33.4392672,-112.0735794,New Garden Restaurant,AZ,12
Las Vegas,36.1597054,-115.15021589999999,Vegas Simple Weddings,NV,13
Las Vegas,36.1438746512,-115.2948794584,The Coffee Bean & Tea Leaf,NV,22
Toronto,43.6751576,-79.394549,Mrs Bridal Boutique,ON,3
Toronto,43.6549385,-79.40241309999999,Poetry Jazz Cafe,ON,8
Toronto,43.6803468,-79.3375975,Burak Market,ON,1
Las Vegas,36.0355155,-115.20747140000002,Las Vegas Zen Dog,NV,20
Toronto,43.648187,-79.396566,Loving Hut,ON,9
Toronto,43.706691299999996,-79.37580279999999,Fine Asian Bowl,ON,2
Toronto,43.6715146,-79.3874234,La Mexicana,ON,13
Phoenix,33.4515503,-112.0964669,Evan's On Van Buren,AZ,1
Las Vegas,36.1450027,-115.30366799999999,"Jeffrey N Suffoletta, DMD",NV,7
Toronto,43.6826974,-79.42088009999999,Moong Japanese Fusion Restaurant,ON,11
Toronto,43.669293700000004,-79.39024909999999,Hugo Boss,ON,4
Phoenix,33.43602,-111.997863,All Stars Sports Bar,AZ,12
Toronto,43.6708595,-79.3934235,One Restaurant,ON,55
Phoenix,33.493483399999995,-112.1234956,Armor Pest Defense,AZ,31
Las Vegas,36.1158771,-115.2238369,US Post Office,NV,58
Toronto,43.72873870000001,-79.4029239,San Francesco Foods - Yonge,ON,7
Las Vegas,36.217137079299995,-115.2251600086,EZPawn,NV,5
Las Vegas,36.069856,-115.16640520000001,Gene Woods Racing Experience,NV,28
Las Vegas,36.031580136799995,-115.24430420000002,Enterprise Rent-A-Car,NV,11
Las Vegas,36.085402016799996,-115.10099058540001,Sprint Store By Wireless Experts,NV,7
Las Vegas,36.143133,-115.2085074,Habib's Persian Cuisine,NV,65
Las Vegas,36.0539467,-115.16886969999999,Sunglass Hut,NV,1
Toronto,43.6971001,-79.3294333,Hole-E Burger Bar,ON,18
Toronto,43.6668997,-79.38509090000001,Bootmaster,ON,1
Las Vegas,36.197489399999995,-115.2505798,JAKK'S Salon,NV,8
Toronto,43.6511338416,-79.3720099007,Bombay Palace,ON,22
Las Vegas,36.11638189999999,-115.1850253,Hamada's Asiana,NV,3
Las Vegas,36.0963775,-115.1924946,Code Red Emergency Plumbing,NV,10
Las Vegas,36.1423699,-115.26500349999999,Alliance Properties,NV,6
Las Vegas,36.069072999999996,-115.16474,South Strip Transfer Terminal,NV,13
Toronto,43.6651994,-79.3870812,Hero Certified Burgers - Bay & Wellesley,ON,12
Las Vegas,36.115591805,-115.1354288506,The UPS Store,NV,71
Toronto,43.650183500000004,-79.39018759999999,Queen St Warehouse,ON,114
Phoenix,33.593777,-111.98159199999999,Aderra by Alliance,AZ,8
Toronto,43.6920166,-79.53159129999999,Lan Sushi,ON,8
Las Vegas,36.2301504646,-115.0735473633,Nellis Family Housing,NV,7
Las Vegas,36.2042,-115.24499399999999,BaBa's Chinese Kitchen,NV,5
Las Vegas,36.147554299999996,-115.10429909999999,Those Guys Motorcycle Repair,NV,2
Las Vegas,36.106477000000005,-115.29806570000001,Massage Nirvana Day and Medi Spa,NV,11
Phoenix,33.4504877,-111.96709750000001,Motel 6 - Phoenix East,AZ,13
Phoenix,33.5795497516,-112.1188126634,Metro Sportz Bar,AZ,31
Las Vegas,36.114442,-115.308663,Custom Built Pizza,NV,10
Las Vegas,36.016493100000005,-115.1170689,GlutenZero,NV,18
