name,fans,num_neg_re,num_all_re,percent
Brad,77,577,2039,28.298185384992642
Jennifer,789,522,4331,12.0526437312399
Stefany,785,306,2555,11.976516634050881
Owen,46,285,1111,25.65256525652565
Diana,22,267,563,47.42451154529307
Cris,23,245,478,51.255230125523006
Elvis,64,240,891,26.93602693602693
Shawn,67,218,644,33.85093167701863
Jack,35,199,580,34.31034482758621
The,16,196,445,44.04494382022472
Pepper,110,194,979,19.816138917262517
Chris,101,188,1263,14.885193982581155
Michael,1090,187,1762,10.61293984108967
Deb,48,187,1096,17.062043795620436
Stephanie,207,186,1148,16.202090592334496
