words,freq,firstname
place,309,Brad
chicken,253,Brad
food,246,Brad
cheese,123,Brad
sandwich,106,Brad
menu,105,Brad
meat,100,Brad
people,100,Brad
bucks,82,Brad
sauce,79,Brad
food,239,Jennifer
order,157,Jennifer
place,140,Jennifer
lunch,123,Jennifer
Chinese,118,Jennifer
taste,106,Jennifer
eating,101,Jennifer
lot,101,Jennifer
time,97,Jennifer
rice,96,Jennifer
place,131,Stefany
order,131,Stefany
food,116,Stefany
service,73,Stefany
menu,68,Stefany
staff,61,Stefany
little,59,Stefany
chicken,59,Stefany
sauce,55,Stefany
store,55,Stefany
chicken,39,Owen
place,33,Owen
people,27,Owen
lot,25,Owen
staff,24,Owen
bucks,22,Owen
time,20,Owen
location,19,Owen
pizza,18,Owen
worst,16,Owen
awful,120,Diana
place,120,Diana
food,117,Diana
people,54,Diana
cooked,53,Diana
service,48,Diana
dirty,47,Diana
outside,23,Diana
went,20,Diana
eat,19,Diana
