index,word,coef
61957,stater,-1.748095725
48258,adiamo,-1.757476453
53729,pittsburghese,-1.770470678
64170,incendiary,-1.773544042
60246,oenophile,-1.822520592
38950,accentuates,-1.84985432
46726,podiatrists,-1.869039329
51961,brasato,-1.897612975
62270,loc8ion,-1.911607424
52123,buoyed,-1.918909984
48082,madmen,-2.053437382
55358,flottante,-2.098647406
62406,wordplay,-2.200876769
53246,perfuming,-2.247406056
32028,haricots,-2.31798919
63287,burroughs,-2.36495868
61001,starchiness,-2.554566159
50929,colborne,-2.57865546
54123,cosmpolitan,-2.752121587
63440,defacto,-3.659078421
